,IMDb Id,Companion(split),Actor
1726,2378951,Amy Pond,Karen Gillan
1727,2378951,Rory Williams,Arthur Darvill
1728,2378951,River Song,Alex Kingston
1729,2380513,Clara,Jenna Coleman
1730,2222152,Clara,Jenna Coleman
1731,2284610,Clara,Jenna Coleman
1732,2267312,Clara,Jenna Coleman
1733,2267332,Clara,Jenna Coleman
1734,2267326,Clara,Jenna Coleman
1735,2267326,Martha Jones,Freema Agyeman
1736,2267326,Susan Foreman,Carole Ann Ford
1737,2267326,Amy Pond,Karen Gillan
1738,2267326,Jo Grant,Katy Manning
1739,2267326,Ian Chesterton,William Russell
1740,2204480,Clara,Jenna Coleman
1741,2267338,Clara,Jenna Coleman
1742,2267346,Clara,Jenna Coleman
1743,2267346,River Song,Alex Kingston
1744,2779318,Clara,Jenna Coleman
1745,2986512,Clara,Jenna Coleman
1746,2986512,Amy Pond,Karen Gillan
1747,3469416,Clara,Jenna Coleman
1748,3737226,Clara,Jenna Coleman
1749,3714112,Clara,Jenna Coleman
1750,3745430,Clara,Jenna Coleman
1751,3845940,Clara,Jenna Coleman
1752,3845938,Clara Oswald,Jenna Coleman
1753,3787384,Clara,Jenna Coleman
1754,3787400,Clara,Jenna Coleman
1755,3834038,Clara,Jenna Coleman
1756,3834040,Clara,Jenna Coleman
1757,3834042,Clara,Jenna Coleman
1758,3834044,Clara,Jenna Coleman
1759,3834044,Brigadier Lethbridge-Stewart,Nicholas Courtney
1760,4050552,Clara Oswald,Jenna Coleman
1761,4289846,Clara,Jenna Coleman
1762,4464958,Clara,Jenna Coleman
1763,4483506,Clara,Jenna Coleman
1764,4483520,Clara,Jenna Coleman
1765,4507160,Clara,Jenna Coleman
1766,4507160,Donna Noble,Catherine Tate
1767,4545140,Clara,Jenna Coleman
1768,4787004,Clara,Jenna Coleman
1769,4701538,Clara,Jenna Coleman
1770,4701542,Clara,Jenna Coleman
1771,4701544,Clara,Jenna Coleman
1772,4701546,River Song,Alex Kingston
1773,4701546,Nardole,Matt Lucas
1774,5163494,Nardole,Matt Lucas
1775,5848216,Bill Potts,Pearl Mackie
1776,5848216,Nardole,Matt Lucas
1777,5985750,Bill,Pearl Mackie
1778,5985750,Nardole,Matt Lucas
1779,5985752,Bill,Pearl Mackie
1780,5985752,Nardole,Matt Lucas
1781,5985754,Bill,Pearl Mackie
1782,5985754,Nardole,Matt Lucas
1783,6250146,Bill,Pearl Mackie
1784,6250146,Nardole,Matt Lucas
1785,6340130,Bill,Pearl Mackie
1786,6340130,Nardole,Matt Lucas
1787,6336800,Bill,Pearl Mackie
1788,6336800,Nardole,Matt Lucas
1789,6333372,Bill,Pearl Mackie
1790,6333372,Nardole,Matt Lucas
1791,6340134,Bill,Pearl Mackie
1792,6340134,Nardole,Matt Lucas
1793,6250158,Bill,Pearl Mackie
1794,6250158,Nardole,Matt Lucas
1795,6340138,Bill,Pearl Mackie
1796,6340138,Nardole,Matt Lucas
1797,6340142,Bill,Pearl Mackie
1798,6340142,Nardole,Matt Lucas
1799,6340142,Martha Jones,Freema Agyeman
1800,6340142,Jack Harkness,John Barrowman
1801,6340142,Clara,Jenna Coleman
1802,6340142,Amy Pond,Karen Gillan
1803,6340142,River Song,Alex Kingston
1804,6340142,Rose Tyler,Billie Piper
1805,6340142,Sarah Jane Smith,Elisabeth Sladen
1806,6340142,Donna Noble,Catherine Tate
1807,6968542,Bill,Pearl Mackie
1808,6968542,Clara,Jenna Coleman
1809,6968542,Nardole,Matt Lucas
1810,6968542,Polly,Anneke Wills
1811,6968542,Ben,Michael Craze
1812,7542168,Graham O'Brien,Bradley Walsh
1813,7542168,Ryan Sinclair,Tosin Cole
1814,7542168,Yasmin Khan,Mandip Gill
1815,7558994,Graham O'Brien,Bradley Walsh
1816,7558994,Ryan Sinclair,Tosin Cole
1817,7558994,Yasmin Khan,Mandip Gill
1818,7689190,Graham O'Brien,Bradley Walsh
1819,7689190,Ryan Sinclair,Tosin Cole
1820,7689190,Yasmin Khan,Mandip Gill
1821,7689200,Graham O'Brien,Bradley Walsh
1822,7689200,Ryan Sinclair,Tosin Cole
1823,7689200,Yasmin Khan,Mandip Gill
1824,7693260,Graham O'Brien,Bradley Walsh
1825,7693260,Yasmin Khan,Mandip Gill
1826,7693260,Ryan Sinclair,Tosin Cole
1827,7693262,Graham O'Brien,Bradley Walsh
1828,7693262,Ryan Sinclair,Tosin Cole
1829,7693262,Yasmin Khan,Mandip Gill
1830,7693268,Graham O'Brien,Bradley Walsh
1831,7693268,Yasmin Khan,Mandip Gill
1832,7693268,Ryan Sinclair,Tosin Cole
1833,7693274,Graham O'Brien,Bradley Walsh
1834,7693274,Ryan Sinclair,Tosin Cole
1835,7693274,Yasmin Khan,Mandip Gill
